"id","heroId_1","heroId_2","teammatePickTimes","teammatePickRate","teammateWinTimes","teammateWinRate","opponentPickTimes","opponentPickRate","opponentWinTimes","opponentWinRate","adaptation","score","updateTime"
"1","191","519","0","0","101","0","0","0","105","0","0","0","16/8/2024 04:49:56"
"2","191","159","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"3","191","542","0","0","45","0","0","0","41","0","0","0","16/8/2024 04:49:56"
"4","191","118","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"5","191","186","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"6","191","127","0","0","125","0","0","0","133","0","0","0","16/8/2024 04:49:56"
"7","191","514","0","0","119","0","0","0","119","0","0","0","16/8/2024 04:49:56"
"8","191","517","0","0","102","0","0","0","116","0","0","0","16/8/2024 04:49:56"
"9","191","518","0","0","98","0","0","0","100","0","0","0","16/8/2024 04:49:56"
"10","191","157","0","0","69","0","0","0","32","0","0","0","16/8/2024 04:49:56"
"11","191","199","0","0","135","0","0","0","100","0","0","0","16/8/2024 04:49:56"
"12","191","531","0","0","74","0","0","0","86","0","0","0","16/8/2024 04:49:56"
"13","191","133","0","0","107","0","0","0","81","0","0","0","16/8/2024 04:49:56"
"14","191","171","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"15","191","111","0","0","131","0","0","0","133","0","0","0","16/8/2024 04:49:56"
"16","191","564","0","0","37","0","0","0","36","0","0","0","16/8/2024 04:49:56"
"17","191","537","0","0","45","0","0","0","57","0","0","0","16/8/2024 04:49:56"
"18","191","197","0","0","55","0","0","0","60","0","0","0","16/8/2024 04:49:56"
"19","191","502","0","0","79","0","0","0","87","0","0","0","16/8/2024 04:49:56"
"20","191","154","0","0","82","0","0","0","87","0","0","0","16/8/2024 04:49:56"
"21","191","139","0","0","132","0","0","0","104","0","0","0","16/8/2024 04:49:56"
"22","191","505","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"23","191","176","0","0","77","0","0","0","78","0","0","0","16/8/2024 04:49:56"
"24","191","548","0","0","61","0","0","0","103","0","0","0","16/8/2024 04:49:56"
"25","191","521","0","0","80","0","0","0","71","0","0","0","16/8/2024 04:49:56"
"26","191","534","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"27","191","510","0","0","59","0","0","0","60","0","0","0","16/8/2024 04:49:56"
"28","191","132","0","0","85","0","0","0","105","0","0","0","16/8/2024 04:49:56"
"29","191","194","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"30","191","108","0","0","22","0","0","0","57","0","0","0","16/8/2024 04:49:56"
"31","191","174","0","0","31","0","0","0","26","0","0","0","16/8/2024 04:49:56"
"32","191","528","0","0","13","0","0","0","20","0","0","0","16/8/2024 04:49:56"
"33","191","113","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"34","191","511","0","0","23","0","0","0","18","0","0","0","16/8/2024 04:49:56"
"35","191","112","0","0","21","0","0","0","34","0","0","0","16/8/2024 04:49:56"
"36","191","152","0","0","31","0","0","0","40","0","0","0","16/8/2024 04:49:56"
"37","191","134","0","0","29","0","0","0","15","0","0","0","16/8/2024 04:49:56"
"38","191","146","0","0","22","0","0","0","17","0","0","0","16/8/2024 04:49:56"
"39","191","312","0","0","47","0","0","0","61","0","0","0","16/8/2024 04:49:56"
"40","191","563","0","0","12","0","0","0","15","0","0","0","16/8/2024 04:49:56"
"41","191","114","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"42","191","523","0","0","70","0","0","0","99","0","0","0","16/8/2024 04:49:56"
"43","191","149","0","0","54","0","0","0","86","0","0","0","16/8/2024 04:49:56"
"44","191","513","0","0","41","0","0","0","35","0","0","0","16/8/2024 04:49:56"
"45","191","195","0","0","26","0","0","0","26","0","0","0","16/8/2024 04:49:56"
"46","191","503","0","0","36","0","0","0","40","0","0","0","16/8/2024 04:49:56"
"47","191","140","0","0","25","0","0","0","32","0","0","0","16/8/2024 04:49:56"
"48","191","184","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"49","191","120","0","0","47","0","0","0","52","0","0","0","16/8/2024 04:49:56"
"50","191","169","0","0","26","0","0","0","24","0","0","0","16/8/2024 04:49:56"
"51","191","130","0","0","67","0","0","0","86","0","0","0","16/8/2024 04:49:56"
"52","191","123","0","0","25","0","0","0","22","0","0","0","16/8/2024 04:49:56"
"53","191","153","0","0","43","0","0","0","39","0","0","0","16/8/2024 04:49:56"
"54","191","106","0","0","50","0","0","0","60","0","0","0","16/8/2024 04:49:56"
"55","191","183","0","0","22","0","0","0","22","0","0","0","16/8/2024 04:49:56"
"56","191","515","0","0","80","0","0","0","85","0","0","0","16/8/2024 04:49:56"
"57","191","141","0","0","22","0","0","0","26","0","0","0","16/8/2024 04:49:56"
"58","191","136","0","0","18","0","0","0","15","0","0","0","16/8/2024 04:49:56"
"59","191","507","0","0","23","0","0","0","23","0","0","0","16/8/2024 04:49:56"
"60","191","131","0","0","20","0","0","0","13","0","0","0","16/8/2024 04:49:56"
"61","191","150","0","0","22","0","0","0","10","0","0","0","16/8/2024 04:49:56"
"62","191","137","0","0","31","0","0","0","27","0","0","0","16/8/2024 04:49:56"
"63","191","173","0","0","10","0","0","0","15","0","0","0","16/8/2024 04:49:56"
"64","191","167","0","0","20","0","0","0","23","0","0","0","16/8/2024 04:49:56"
"65","191","508","0","0","15","0","0","0","8","0","0","0","16/8/2024 04:49:56"
"66","191","162","0","0","14","0","0","0","11","0","0","0","16/8/2024 04:49:56"
"67","191","121","0","0","23","0","0","0","29","0","0","0","16/8/2024 04:49:56"
"68","191","190","0","0","25","0","0","0","34","0","0","0","16/8/2024 04:49:56"
"69","191","168","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"70","191","525","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"71","191","189","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"72","191","533","0","0","42","0","0","0","42","0","0","0","16/8/2024 04:49:56"
"73","191","509","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"74","191","506","0","0","26","0","0","0","20","0","0","0","16/8/2024 04:49:56"
"75","191","116","0","0","6","0","0","0","8","0","0","0","16/8/2024 04:49:56"
"76","191","142","0","0","16","0","0","0","16","0","0","0","16/8/2024 04:49:56"
"77","191","524","0","0","79","0","0","0","79","0","0","0","16/8/2024 04:49:56"
"78","191","192","0","0","6","0","0","0","11","0","0","0","16/8/2024 04:49:56"
"79","191","175","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"80","191","156","0","0","4","0","0","0","8","0","0","0","16/8/2024 04:49:56"
"81","191","105","0","0","8","0","0","0","33","0","0","0","16/8/2024 04:49:56"
"82","191","538","0","0","15","0","0","0","16","0","0","0","16/8/2024 04:49:56"
"83","191","177","0","0","8","0","0","0","1","0","0","0","16/8/2024 04:49:56"
"84","191","527","0","0","32","0","0","0","33","0","0","0","16/8/2024 04:49:56"
"85","191","125","0","0","46","0","0","0","52","0","0","0","16/8/2024 04:49:56"
"86","191","501","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"87","191","187","0","0","0","0","0","0","0","0","0","0","16/8/2024 04:49:56"
"88","191","198","0","0","8","0","0","0","7","0","0","0","16/8/2024 04:49:56"
"89","191","522","0","0","4","0","0","0","10","0","0","0","16/8/2024 04:49:56"
"90","191","504","0","0","6","0","0","0","18","0","0","0","16/8/2024 04:49:56"
"91","191","536","0","0","21","0","0","0","16","0","0","0","16/8/2024 04:49:56"
"92","191","179","0","0","25","0","0","0","24","0","0","0","16/8/2024 04:49:56"
"93","191","128","0","0","11","0","0","0","8","0","0","0","16/8/2024 04:49:56"
"94","191","193","0","0","14","0","0","0","7","0","0","0","16/8/2024 04:49:56"
"95","191","196","0","0","130","0","0","0","133","0","0","0","16/8/2024 04:49:56"
"96","191","544","0","0","12","0","0","0","7","0","0","0","16/8/2024 04:49:56"
"97","191","126","0","0","26","0","0","0","33","0","0","0","16/8/2024 04:49:56"
"98","191","180","0","0","57","0","0","0","40","0","0","0","16/8/2024 04:49:56"
"99","191","155","0","0","12","0","0","0","6","0","0","0","16/8/2024 04:49:56"
"100","191","166","0","0","4","0","0","0","10","0","0","0","16/8/2024 04:49:56"
